1Jn	1	10	Jos me sanome / eipe me syndie tehnyet ole / nin me teemme henen walecteliaxi / ia henen Sanansa ei ole meise .
1Jn	1	1	SE quin algusta oli / sen me culuet olema sen me nähnyuet olema / meiden Silmille'me / sen me catzonuet olema / Ja meiden kätenne pidhelluet ouat sijte Elemen Sanasta /
1Jn	1	2	ia Eleme o'bi ilmestynyt / ia me olema nähnyuet / ia todhista'me / ia ilmoita'me teille sen Eleme' / ioca ijancaickine' ombi / Joca oli Isen tyköne / ia ombi meille ilmestynyt .
1Jn	1	3	Mitä me nähnyuet ia cwluet olema / sen me ilmoitamma teille / senpäle ette teilleki mös pite meiden cansanna seura oleman / Ja meiden Seura pite Isen ia henen Poiansa Christusen cansa oleman /
1Jn	1	4	ia näite me kirioitame teille / senpäle ette tedhen Ilonna pite teudhelisen oleman .
1Jn	1	5	Ja teme ombi se Ilmoitus ionga me henelde cwluet olema Ja teille ilmoitamma . Ette Jumala yxi Walkeus on / Ja henese ei ole ychten Pimeytte .
1Jn	1	6	Jos me sanoma ette meille ombi seura henen cansansa / ia waellamme pimeydhes / nin me walectelema / ia eipe me tee totuutta .
1Jn	1	7	Mutta ios me walkiudesa waellamme ninquin hen on walkiudhesa / nin ombi meille seura keskenenne / Ja Jesusen Christusen henen Poiansa Weri puhdistapi meite caikista synniste .
1Jn	1	8	Jos me sanome / ei ole meille syndie / nin me petämme itzenne / ia totuus ei ole meise .
1Jn	1	9	Mutta ios me tunnustamme meiden syndinme / nin hen on Uskolinen ia hurskas / ette hen meille synnit andexi andapi / Ja puhdhistapi meite caikesta wärydesta .
1Jn	2	10	Joca henen weliense racastapi / se pysy walkiudhesa / ia henese ei ole pahannusta .
1Jn	2	11	Mutta ioca henen weliens wihapi / se ombi pimeydese / ia waeldapi pimeydhese / ia ei tiedhe cunga hen menepi / Sille ette pimeydhet ouat henen Silmens soghaisnuet .
1Jn	2	12	Rackat Poicaiseni / Mine kirioitan teille / ette teille synnit andexiannetan henen Nimens tedhen .
1Jn	2	13	Mine kirioitan teille Iset / sille te tunsitta henen ioca alghusta on . Mine kirioitan noricasille / Sille te woititte sen pahan . Mine kirioitan teille Lapsucaiseni / Sille te tunsitta Isen .
1Jn	2	14	Mine kirioitin teille Iset / Sille te tunsitta sen ioca alghusta on . Mine kirioitin teille Noricaisille / Sille ette te wäkeuet oleta / ia Jumalan Sana pysypi teise / Ja oletta sen Pahan ylitzeuoittanuet .
1Jn	2	15	Elkette Mailma racastaco / eike miten quin Mailmas on . Jos iocu Mailma racasta / henese ei ole Isen Rackaus .
1Jn	2	16	Sille ette caiki quin Mailmas o'bi ( nimittein Liha' himo / ia Silmein himo / ia Elemen coreus ) ei ne ole Iseste / waan Mailmasta .
1Jn	2	17	Ja mailma catopi himoinensa / Mutta ioca teke Jumalan tachton / se pysypi ijancaikisesta .
1Jn	2	18	Lapsucaiset / nyt ombi se wimeinen aica / Ja ninquin te oletta cwluet / ette se Antichristus tuleua ombi / ia nyt mös monda Antichristusta rupesit oleman / sijte me tunnemma / ette se wimeinen aica ombi .
1Jn	2	19	He ouat meilde wloslectenet / Mutta eiuet olluat meiste . Sille ios he meiste olisit olluuat / nin he olisit tosin pysynyet meiden cansanne . Mutta senpäle ette he iulkisexi tulisit / ettei he ole caiki meiste .
1Jn	2	1	MInun Lapsiseni / neme mine kirioitan teille / senpäle ettei te syndie tekisi . Ja ios iocu syndie tekis / nin ombi meille yxi Edestwastaia Isen tykene / JESUS CHRISTUS / ioca wanhurskas ombi /
1Jn	2	20	Ja teille ombi se Woidhellus henelde ioca pyhe ombi / Ja te tiedette caiki .
1Jn	2	21	Em mine kirioittanut teille / ninquin Totuden tietemettömille / waan ninquin sen tietäuille / ia tietekette / ettei yxike waleh ole Totuyhesta .
1Jn	2	22	Cuca ombi walectelia / mutta se ioca kieldäpi Jesusen oleua' Christusen ? Se ombi Antichristus ioca kieldäpi Isen ia Poia' .
1Jn	2	23	Jocainen quin kieldäpi Poighan / ei henelle mös Ise ole .
1Jn	2	24	Mite te sis cwlitta alghusta / se teisä pysykän . Jos se teisä pysypi quin te alghusta cwllitte / nin te Poighasa ia Isese pysytte .
1Jn	2	25	Ja teme ombi se Lupaus ionga hen ombi meille luuannut / sen ijancaikisen Eleme' .
1Jn	2	26	Neme mine kirioitin teille nijste iotca teite wietteleuet .
1Jn	2	27	Ja se woidellus io'ga te Henelde sanuet oletta / pysypi teisä / Ja ette te taruitze / ette iocu teite opettapi / waan nin quin se woidhellus teite caikinaisista opettapi / nin ombi se tosi ia ei ole Waleh / Ja ninquin se teite opetti / nin te henese pysykät .
1Jn	2	28	Ja nyt Lapsucaiseni pysykät henese / Senpäle / ette coska hen ilmestupi / madhais meille olla Turua / ia ei hepien tuleman henen edhesens henen tulemisesans /
1Jn	2	29	Jos te tiedhet ette he' hurscas ombi / nin tieteket mös se / ette iocainen quin oikeutta tekepi / heneste hen ombi syndynyt .
1Jn	2	2	Ja se sama ombi se Souindo meiden syndien edheste . Mutta ei waiuon meiden / waan mös caiken Mailman edheste .
1Jn	2	3	Ja sijte me merkitze'me ette me henen tunnema / ios me henen keskynse pidhemme .
1Jn	2	4	Joca sanopi / Mine tu'nen hene' / ia ei pide hene' keskyiens se on walectelia / Ja henese ei ole Totuus .
1Jn	2	5	Mutta ioca hene' Sanansa pitepi / Totisesta o'bi henese Jumala' Rackaus teudheline' / Sijte me tiedeme ette me henese olema .
1Jn	2	6	Joca sanopi itzens oleuan henese / henen pite mös nin waeldaman quin hen waelsi .
1Jn	2	7	Rackat Welieni / em mine wtta Keskye kirioita teille / waan sen wanhan Keskyn ioca teille alghusta oli .
1Jn	2	8	Se wanha Kesky ombi se Sana / ionga alghusta cwlitta . Taas wdhen Keskyn mine teille kirioitan / se quin henese totinen ombi / ia mös teise . Sille ette se pimeys on poismennyt / Ja se totinen walkeus nyt paista .
1Jn	2	9	Joca sanopi walkeudhesa oleuans / Ja wihapi hene' weliens / hen ombi wiele pimeydhesa .
1Jn	3	10	Jocainen quin ei teghe oikeutta / ei ole se Jumalasta Ja ioca ei racasta henen weliensä .
1Jn	3	11	Sille ette teme ombi Ilmoitus / ionga te cwlitta alghusta / ette me racastaisimme keskenem . Ei ninquin Cain / ioca sijte pahasta oli / ia tappoi henen Weliens .
1Jn	3	12	Ja mingetädhen hen tappoi henen ? Sille ette henen töönsä pahat olit / Ja henen Weliens oikeat .
1Jn	3	13	Elket te jmehtelcö minun Welieni / ios teite Mailma wihapi .
1Jn	3	14	Me tiedhemme / ette me olema Coolemasta Elemehen sijrdyt / Sille me racastamme Welienne . Joca ei racasta Weliensä / se pysypi Coolemasa /
1Jn	3	15	Jocainen quin hene' Weliens wihapi / hen ombi Murhaia . Ja te tiedhette ette iocaitzella Murhaialla ei ole se ijancaikinen Eleme henesä pysyuä .
1Jn	3	16	Sijte me tunsimma Rackaudhen / Ette hen ombi Hengensä meiden edhesten pannut / Ja meiden mös pite Welieine edheste Hengennä panemen .
1Jn	3	17	Mutta ios iollaki ombi temen Mailman Hywuytte / ia näkis henen Weliens taruitzeuan / ia sulkepi henen sydhemens pois heneste / quinga Jumalan Rackaus pysypi henesä ?
1Jn	3	18	Minun Lapsucaiseni / elkem racastaco sanalla eli Kielelle / Waan Töön ia Totudhen cansa .
1Jn	3	19	Sijte me tunnemma / ette me Totudhesta olema / ia taidhame henen Casuonsa edhes meiden sydhemenne hilitä /
